created_at,id,lng,lat,topic,sentiment,stance,gender,temperature_avg,aggressiveness,text,Full_Address,City,Continent,Country,State,is_english
2008-03-28 14:15:51+00:00,778602262,-93.1015026,44.9504037,Importance of Human Intervantion,-0.0427259057760238,believer,male,-4.082745,aggressive,"on march 29, 2008 at 8 pm, make a statement about climate change by turning off your lights for earth hour.","{'ISO_3166-1_alpha-2': 'US', 'ISO_3166-1_alpha-3': 'USA', 'ISO_3166-2': ['US-MN'], '_category': 'road', '_normalized_city': 'Saint Paul', '_type': 'road', 'city': 'Saint Paul', 'continent': 'North America', 'country': 'United States', 'country_code': 'us', 'county': 'Ramsey County', 'postcode': '55155', 'road': 'I 35E', 'road_reference': 'I 35E', 'road_type': 'motorway', 'state': 'Minnesota', 'state_code': 'MN', 'suburb': 'Downtown'}",Saint Paul,North America,United States,Minnesota,True
2008-03-28 15:36:30+00:00,778649364,-117.16472,32.715709999999994,Global stance,0.4294405142545699,believer,undefined,-0.1320762,not aggressive,"City looks at green building standards: Hoping to do its part in reducing global warming, the city... http://tinyurl.com/37mphl","{'ISO_3166-1_alpha-2': 'US', 'ISO_3166-1_alpha-3': 'USA', 'ISO_3166-2': ['US-CA'], '_category': 'road', '_normalized_city': 'San Diego', '_type': 'road', 'city': 'San Diego', 'continent': 'North America', 'country': 'United States', 'country_code': 'us', 'county': 'San Diego County', 'neighbourhood': 'Marina', 'postcode': '92101', 'road': 'Front Street', 'road_type': 'secondary', 'state': 'California', 'state_code': 'CA', 'suburb': ""Banker's Hill""}",San Diego,North America,United States,California,True
2008-03-28 15:41:13+00:00,778652293,-122.3558473,37.7884969,Weather Extremes,0.0924461167335509,neutral,male,-2.3241978,not aggressive,@thiskat @agray @payload Snow? In PDX? In March?  Thanks global warming!,"{'ISO_3166-1_alpha-2': 'US', 'ISO_3166-1_alpha-3': 'USA', 'ISO_3166-2': ['US-CA'], '_category': 'place', '_normalized_city': 'San Francisco', '_type': 'city', 'city': 'San Francisco', 'continent': 'North America', 'country': 'United States', 'country_code': 'us', 'state': 'California', 'state_code': 'CA'}",San Francisco,North America,United States,California,True
2008-03-28 15:56:42+00:00,778661751,-123.033121,44.9391565,Ideological Positions on Global Warming,-0.3370097335100174,denier,male,-4.810226,not aggressive,someone alert al gore - global warming isn't working!!,"{'ISO_3166-1_alpha-2': 'US', 'ISO_3166-1_alpha-3': 'USA', 'ISO_3166-2': ['US-OR'], '_category': 'road', '_normalized_city': 'Salem', '_type': 'road', 'city': 'Salem', 'continent': 'North America', 'country': 'United States', 'country_code': 'us', 'county': 'Marion County', 'postcode': '97311', 'road': 'Walk of Flags', 'state': 'Oregon', 'state_code': 'OR'}",Salem,North America,United States,Oregon,False
2008-03-28 16:09:12+00:00,778669248,-123.3649533,48.4283182,Weather Extremes,-0.317469058895111,denier,male,-4.862617,not aggressive,It's snowing in Langford and sticking!  It's the end of March almost April.  I thought we had global warming.   ;-),"{'ISO_3166-1_alpha-2': 'CA', 'ISO_3166-1_alpha-3': 'CAN', 'ISO_3166-2': ['CA-BC'], '_category': 'government', '_normalized_city': 'Victoria', '_type': 'townhall', 'city': 'Victoria', 'continent': 'North America', 'country': 'Canada', 'country_code': 'ca', 'county': 'Capital Regional District', 'house_number': '1', 'neighbourhood': 'Chinatown', 'postcode': 'V8W 1P6', 'road': 'Pandora Avenue', 'state': 'British Columbia', 'state_code': 'BC', 'suburb': 'Downtown', 'townhall': 'Victoria City Hall'}",Victoria,North America,Canada,British Columbia,True
2008-03-28 16:10:42+00:00,778670219,-118.755997,36.7014631,Donald Trump versus Science,-0.2516686773538589,neutral,female,-1.0948423,not aggressive,"On Y! News 60 Minutes, Al Gore talks global warming. Video coming later today! http://60minutes.yahoo.com/","{'ISO_3166-1_alpha-2': 'US', 'ISO_3166-1_alpha-3': 'USA', 'ISO_3166-2': ['US-CA'], '_category': 'road', '_type': 'road', 'continent': 'North America', 'country': 'United States', 'country_code': 'us', 'county': 'Tulare County', 'road': 'JO Pass Trail', 'road_reference': '30E11', 'road_type': 'path', 'state': 'California', 'state_code': 'CA'}",Not Found,North America,United States,California,True
2008-03-28 16:44:07+00:00,778689594,-122.67621,45.52345,Weather Extremes,-0.6004161870002747,believer,male,-5.4861903,not aggressive,shaking snow off of my head and wondering how people can still think global warming is a conspiracy theory. http://tinyurl.com/2cabcw,"{'ISO_3166-1_alpha-2': 'US', 'ISO_3166-1_alpha-3': 'USA', 'ISO_3166-2': ['US-OR'], '_category': 'building', '_normalized_city': 'Portland', '_type': 'building', 'city': 'Portland', 'continent': 'North America', 'country': 'United States', 'country_code': 'us', 'county': 'Multnomah County', 'house_number': '10', 'neighbourhood': 'Chinatown', 'postcode': '97209', 'road': 'Northwest 6th Avenue', 'state': 'Oregon', 'state_code': 'OR', 'suburb': 'Old Town'}",Portland,North America,United States,Oregon,True
2008-03-28 16:59:25+00:00,778698916,-121.74052,38.54491,Importance of Human Intervantion,-0.0854459702968597,denier,male,-2.192841,aggressive,@sheagunther you could write a story saying Al Gore announces on Apr 1 that he's been pulling our leg on climate change,"{'ISO_3166-1_alpha-2': 'US', 'ISO_3166-1_alpha-3': 'USA', 'ISO_3166-2': ['US-CA'], '_category': 'building', '_normalized_city': 'Davis', '_type': 'building', 'city': 'Davis', 'commercial': 'Downtown Davis', 'continent': 'North America', 'country': 'United States', 'country_code': 'us', 'county': 'Yolo County', 'house_number': '615', 'postcode': '95616', 'road': '3rd Street', 'state': 'California', 'state_code': 'CA'}",Davis,North America,United States,California,True
2008-03-28 17:34:59+00:00,778719616,-84.38798000000001,33.749,Undefined / One Word Hashtags,0.2530468903779983,neutral,female,2.2781432,aggressive,"Colleagues in Finland joke that ""global warming"" will be great for their economy.","{'ISO_3166-1_alpha-2': 'US', 'ISO_3166-1_alpha-3': 'USA', 'ISO_3166-2': ['US-GA'], '_category': 'building', '_normalized_city': 'Atlanta', '_type': 'building', 'city': 'Atlanta', 'continent': 'North America', 'country': 'United States', 'country_code': 'us', 'county': 'Fulton County', 'house_number': '206', 'neighbourhood': 'South Downtown', 'office': 'The Georgia State Capitol', 'postcode': '30334', 'road': 'Washington Street Southwest', 'state': 'Georgia', 'state_code': 'GA'}",Atlanta,North America,United States,Georgia,True
2008-03-28 18:22:56+00:00,778747014,-80.51639,43.4668,Ideological Positions on Global Warming,0.5443132560014725,neutral,male,-2.780774,not aggressive,@tjlw: Me and Al invented global warming!,"{'ISO_3166-1_alpha-2': 'CA', 'ISO_3166-1_alpha-3': 'CAN', 'ISO_3166-2': ['CA-ON'], '_category': 'building', '_normalized_city': 'Waterloo', '_type': 'building', 'city': 'Waterloo', 'continent': 'North America', 'country': 'Canada', 'country_code': 'ca', 'county': 'Region of Waterloo', 'house_number': '100', 'neighbourhood': 'Uptown', 'postcode': 'N2J 1V5', 'road': 'Erb Street East', 'state': 'Ontario', 'state_code': 'ON'}",Waterloo,North America,Canada,Ontario,True
